name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF
IC_2948,174.7985,-63.4443,0.081,4.865,9.253,18.505,70,-5.976,0.096,0.643,0.078,,,0,0.39,0.036,0.124,1,6.87,0.376,2371,148,0.026,0.22,1.304,0.119,1.216,0.539,2580,85,8,14,-209,-672.225,1361.444,1,1,1
IC_348,56.1272,32.171,0.092,5.543,14.522,29.045,144,4.36,0.624,-6.575,0.596,20.401,3.283,9,3.085,0.157,0.863,1,6.78,0.067,321,3,0.302,0.264,0.331,0.337,2.158,0.559,324,3,2,3,-3,-366.856,753.591,1,1,1
IC_361,64.7371,58.2586,0.058,3.456,13.545,27.09,501,1.754,0.154,-1.132,0.134,-29.978,1.771,6,0.23,0.082,0.204,1,9.061,0.032,3408,93,-0.248,0.048,2.334,0.035,1.446,0.489,4409,463,9,35,-1001,-442.7,910.267,1,1,1
IC_4651,261.221,-49.9176,0.205,12.272,40.64,81.281,854,-2.41,0.24,-5.052,0.242,-30.05,0.978,74,1.06,0.067,0.341,1,9.315,0.03,920,15,0.12,0.039,0.351,0.052,0.512,0.323,946,14,7,23,-26,-407.667,842.334,1,1,1
IC_4665,266.5967,5.5751,0.527,31.6,133.827,267.655,171,-0.896,0.317,-8.471,0.329,-14.094,4.132,20,2.852,0.156,0.457,1,7.728,0.081,329,15,-0.005,0.032,0.713,0.081,0.704,0.36,348,20,7,28,-19,-255.277,531.121,1,1,1
IC_4725,277.9369,-19.1188,0.259,15.567,49.799,99.597,516,-1.693,0.219,-6.112,0.259,10.004,0.82,11,1.515,0.067,0.339,1,8.223,0.152,638,13,0.169,0.051,1.358,0.044,1.091,0.321,660,8,6,20,-22,-432.341,889.666,1,1,1
IC_4756,279.6417,5.4364,0.536,32.185,137.83,275.66,492,1.266,0.266,-4.902,0.31,-24.566,0.808,55,2.094,0.085,0.408,1,8.989,0.041,472,1,0.006,0.034,0.631,0.037,0.579,0.359,477,2,9,39,-5,-494.448,1013.689,1,1,1
IC_4996,304.1383,37.6489,0.028,1.666,4.16,8.32,79,-2.694,0.142,-5.353,0.173,,,0,0.489,0.033,0.223,1,7.068,0.093,1876,104,0.182,0.237,1.813,0.079,1.53,0.654,2051,47,2,5,-175,-550.742,1118.962,1,1,1
IC_5146,328.3522,47.2385,0.065,3.917,19.512,39.024,108,-2.877,0.382,-2.62,0.387,-0.977,6.083,2,1.221,0.133,0.544,1,6.867,0.135,657,34,-0.01,0.018,1.696,0.154,2.147,0.908,824,91,2,10,-167,-453.123,924.975,1,1,1
Ivanov_4,105.1437,-8.866,0.017,0.999,5.754,11.507,21,-1.338,0.162,0.936,0.305,,,0,0.355,0.083,0.346,1,7.061,0.402,2507,248,-0.195,0.201,1.369,0.112,1.114,0.654,2814,131,2,10,-307,-579.785,1171.747,1,1,1
